latitude,longitude,value
1026000,318000,8.213888168
90000,330000,10.39032459
402000,330000,10.2098093
414000,330000,10.06233883
426000,330000,9.823982239
438000,330000,9.898670197
450000,330000,9.92484951
870000,330000,8.870684624
930000,330000,7.820345879
1026000,330000,7.997652054
90000,342000,10.61170483
870000,342000,8.743416786
954000,342000,7.979116917
966000,342000,7.863232136
978000,342000,8.161559105
1038000,342000,8.132622719
1050000,342000,8.215909004
78000,354000,10.98962402
870000,354000,8.607823372
990000,354000,8.303850174
1002000,354000,8.157179832
1050000,354000,8.250723839
66000,366000,10.84586334
78000,366000,11.17273426
690000,366000,9.30381012
702000,366000,8.982893944
714000,366000,8.866492271
738000,366000,8.743351936
870000,366000,8.662410736
1014000,366000,8.308759689
1026000,366000,8.223379135
1050000,366000,8.263080597
78000,378000,10.53243351
678000,378000,9.046504974
750000,378000,8.576183319
762000,378000,8.541073799
870000,378000,8.274389267
1038000,378000,8.279243469
1050000,378000,8.278594017
78000,390000,10.52673817
666000,390000,8.233682632
774000,390000,8.067575455
786000,390000,8.0230093
870000,390000,8.429549217
1134000,390000,7.409056664
1146000,390000,7.531191349
78000,402000,10.69103622
654000,402000,8.57763958
798000,402000,8.460778236
810000,402000,8.612761497
822000,402000,8.287161827
870000,402000,8.701818466
1134000,402000,8.002993584
1146000,402000,8.013275146
90000,414000,10.85106182
642000,414000,8.993122101
834000,414000,8.267540932
846000,414000,8.206905365
858000,414000,8.505244255
1146000,414000,7.99858284
1158000,414000,7.854012489
90000,426000,10.74794006
594000,426000,9.188672066
606000,426000,8.988237381
618000,426000,8.852425575
630000,426000,9.076580048
1074000,426000,7.830873966
1146000,426000,7.967672825
1170000,426000,7.616276264
1182000,426000,7.328472137
1194000,426000,7.430697918
78000,438000,10.92888546
558000,438000,9.414803505
570000,438000,9.349432945
582000,438000,9.31293869
1110000,438000,7.986855507
1122000,438000,7.682909966
1134000,438000,7.684039116
1194000,438000,7.552759647
78000,450000,10.8017807
534000,450000,9.419694901
546000,450000,9.402715683
1122000,450000,8.141003609
1134000,450000,7.815346718
1146000,450000,7.758993626
1206000,450000,7.586410522
78000,462000,10.76448441
90000,462000,11.27805328
522000,462000,9.659249306
1158000,462000,7.712038994
1170000,462000,7.909043789
1182000,462000,7.723042011
1194000,462000,7.581506729
1206000,462000,7.442368984
1218000,462000,7.322354794
522000,474000,9.123842239
1170000,474000,7.996501923
90000,486000,11.04278755
102000,486000,10.86806965
522000,486000,9.148587227
102000,498000,10.70966434
498000,498000,8.895014763
510000,498000,9.036631584
102000,510000,10.55771828
486000,510000,9.527797699
102000,522000,10.66635513
450000,522000,9.569709778
462000,522000,9.535137177
474000,522000,9.142780304
102000,534000,10.60150433
426000,534000,9.673843384
438000,534000,9.597669601
102000,546000,10.58848572
390000,546000,9.870517731
402000,546000,9.678138733
414000,546000,9.657299995
90000,558000,10.88044834
102000,558000,10.68267727
354000,558000,9.681754112
366000,558000,9.950743675
378000,558000,9.917415619
102000,570000,10.85568333
342000,570000,10.02132511
114000,582000,10.78570747
342000,582000,9.948097229
114000,594000,10.91978836
342000,594000,10.03069878
114000,606000,10.72911072
186000,606000,10.73292828
198000,606000,10.72920895
342000,606000,10.03627682
126000,618000,10.87242508
174000,618000,11.01032734
210000,618000,10.62613392
342000,618000,9.989442825
138000,630000,10.37252426
174000,630000,10.99854279
222000,630000,10.5558691
234000,630000,10.55639648
342000,630000,10.08959961
150000,642000,10.72200584
162000,642000,11.00744057
174000,642000,11.13426685
246000,642000,10.54065704
258000,642000,10.35340977
330000,642000,10.19332504
270000,654000,10.35481739
282000,654000,10.31632328
294000,654000,10.33898544
306000,654000,10.27054691
318000,654000,10.14230633
774000,54000,
858000,54000,
870000,54000,
882000,54000,
822000,66000,
834000,66000,
882000,66000,
942000,66000,
6000,78000,
726000,78000,
942000,78000,
606000,90000,
