latitude,longitude,value,mean,median,mse_mean,mse_median,method
318000,210000,10.4607687,10.646660445026592,10.646884069956474,0.0345557408690319,0.03463893093403565,gwr_bias_corr_bootstrap_stats.csv
330000,210000,10.33802795,10.509845170921302,10.510247698235892,0.029521157405119354,0.02965964168243373,gwr_bias_corr_bootstrap_stats.csv
534000,210000,9.235860825,9.170109412089037,9.175881783839316,0.004323248299787935,0.0035974853785550225,gwr_bias_corr_bootstrap_stats.csv
546000,210000,9.382259369,9.223757309933374,9.223255939151077,0.025122902728360114,0.02528209070372135,gwr_bias_corr_bootstrap_stats.csv
582000,210000,8.60521698,8.465051792649966,8.459763572673495,0.019646279744870078,0.021156693702890122,gwr_bias_corr_bootstrap_stats.csv
594000,210000,9.291669846,8.91640423412373,8.913670245073806,0.14082427945687087,0.14288369830036135,gwr_bias_corr_bootstrap_stats.csv
618000,210000,8.669612885,9.241194425849317,9.244186676836543,0.32670545783967997,0.33013504226542406,gwr_bias_corr_bootstrap_stats.csv
630000,210000,9.178750038,9.213316892576456,9.21428249318147,0.0011948674353098362,0.0012625553712231248,gwr_bias_corr_bootstrap_stats.csv
942000,210000,8.462029457,8.593069731191258,8.600352970520996,0.017171553460120243,0.019133394392793202,gwr_bias_corr_bootstrap_stats.csv
954000,210000,8.455448151,8.416997074564954,8.419277425778557,0.0014784852790138245,0.0013083213630452084,gwr_bias_corr_bootstrap_stats.csv
54000,222000,10.54698086,10.546311175613088,10.544057733194016,4.484771780734865e-07,8.5446703238593e-06,gwr_bias_corr_bootstrap_stats.csv
114000,222000,10.00491142,9.989060339928631,9.988668990305664,0.0002512567394289703,0.00026381652237548325,gwr_bias_corr_bootstrap_stats.csv
126000,222000,10.10663033,10.001305973958898,10.000712174253504,0.0110932199754728,0.01121865571673891,gwr_bias_corr_bootstrap_stats.csv
258000,222000,9.887434006,9.917446302874788,9.922791002824113,0.0009007379637004637,0.0012501172244203506,gwr_bias_corr_bootstrap_stats.csv
330000,222000,10.14648628,10.44284206896058,10.44349368027252,0.08782675365044816,0.08821339581664081,gwr_bias_corr_bootstrap_stats.csv
342000,222000,10.30638409,10.67555736867788,10.679850977790384,0.1362889096897762,0.13947751627583524,gwr_bias_corr_bootstrap_stats.csv
378000,222000,10.4487524,10.720676307748947,10.704696255639728,0.07394261160545798,0.06550725723973004,gwr_bias_corr_bootstrap_stats.csv
462000,222000,9.947102547,9.850728443056894,9.8497338023912,0.009287967910836529,0.009480672426693863,gwr_bias_corr_bootstrap_stats.csv
474000,222000,9.261313438,9.286970557559348,9.312326964806596,0.0006582877840826787,0.002602379917247276,gwr_bias_corr_bootstrap_stats.csv
486000,222000,9.722876549,9.559184864223994,9.583388679997464,0.02679496766480751,0.019456865598868788,gwr_bias_corr_bootstrap_stats.csv
618000,222000,8.909267426,8.67216819089202,8.675821478008256,0.05621604728878914,0.05449701063376379,gwr_bias_corr_bootstrap_stats.csv
642000,222000,9.339961052,9.124180510665449,9.12809476825998,0.04656124201863189,0.04488732218580686,gwr_bias_corr_bootstrap_stats.csv
966000,222000,7.435909271,7.602123791747699,7.593495032295101,0.02762726690738735,0.024833272162956496,gwr_bias_corr_bootstrap_stats.csv
978000,222000,7.921706676,8.112563942102431,8.100655043951608,0.03642649602409417,0.032022518392544067,gwr_bias_corr_bootstrap_stats.csv
54000,234000,10.68366909,10.699214717993916,10.696746869182071,0.0002416665497252217,0.00017102830833500623,gwr_bias_corr_bootstrap_stats.csv
126000,234000,9.980491638,9.836932564771514,9.833608126554784,0.02060920750622185,0.02157476593447685,gwr_bias_corr_bootstrap_stats.csv
198000,234000,10.18986607,10.522088913217802,10.530479882622764,0.11037201755571968,0.1160177693494148,gwr_bias_corr_bootstrap_stats.csv
258000,234000,9.585238457,9.4669513729536,9.471969372331824,0.013991834252200224,0.012829885541566695,gwr_bias_corr_bootstrap_stats.csv
318000,234000,10.04567528,10.449226526214694,10.449712398211696,0.16285360832143345,0.16324599289281289,gwr_bias_corr_bootstrap_stats.csv
330000,234000,10.21853447,10.447437088134746,10.450733475266164,0.05239640858894165,0.053916378046596054,gwr_bias_corr_bootstrap_stats.csv
342000,234000,9.858985901,10.16841372451885,10.17053205021866,0.09574557796761198,0.09706100309297472,gwr_bias_corr_bootstrap_stats.csv
366000,234000,10.42404842,10.68212741335447,10.670606373980103,0.06660476681085659,0.060790824670854615,gwr_bias_corr_bootstrap_stats.csv
378000,234000,10.18032455,10.629423738649184,10.616958298704706,0.20169008124535512,0.1906490305079242,gwr_bias_corr_bootstrap_stats.csv
390000,234000,10.07370567,10.457726244348349,10.432922456816552,0.1474718015228351,0.12903669993080777,gwr_bias_corr_bootstrap_stats.csv
462000,234000,10.21988964,10.05173558955368,10.044472666493917,0.028275784681503654,0.03077111459403386,gwr_bias_corr_bootstrap_stats.csv
498000,234000,9.959722519,9.623000052522569,9.636050233975029,0.11338201943064456,0.10476374809328601,gwr_bias_corr_bootstrap_stats.csv
534000,234000,8.853797913,9.177770362637451,9.191446980601343,0.10495814812409143,0.11400689285205694,gwr_bias_corr_bootstrap_stats.csv
978000,234000,7.480020046,7.880447032020498,7.867982324384252,0.16034177113345982,0.1505147294491002,gwr_bias_corr_bootstrap_stats.csv
54000,246000,10.83320236,10.83994228652342,10.836714354950551,4.5426609541115866e-05,1.2334108532701106e-05,gwr_bias_corr_bootstrap_stats.csv
138000,246000,10.78407192,10.40023029843769,10.40323212992627,0.1473343904435846,0.14503894570340337,gwr_bias_corr_bootstrap_stats.csv
150000,246000,10.84733963,10.03465511324436,10.034059932709049,0.6604561237743481,0.661423866025662,gwr_bias_corr_bootstrap_stats.csv
186000,246000,10.58580399,10.232974616323274,10.237837156566886,0.12448856692911127,0.12108091716946856,gwr_bias_corr_bootstrap_stats.csv
270000,246000,10.00905514,9.875824186637663,9.87596796424694,0.01775048693383693,0.017712196349925838,gwr_bias_corr_bootstrap_stats.csv
390000,246000,10.00473976,10.374087565646382,10.35326218711117,0.13641780153579816,0.1214678821994611,gwr_bias_corr_bootstrap_stats.csv
474000,246000,9.968348503,9.684387399241809,9.713101255375731,0.08063390844757015,0.0651511574197646,gwr_bias_corr_bootstrap_stats.csv
486000,246000,8.862812042,8.768031903470032,8.791720880181808,0.00898327465975993,0.005053953288660325,gwr_bias_corr_bootstrap_stats.csv
498000,246000,9.967843056,9.57861688610563,9.594260699325895,0.1514970113306406,0.1395637772181777,gwr_bias_corr_bootstrap_stats.csv
510000,246000,10.27938175,9.775837821530034,9.783926895447731,0.25355648789896656,0.24547551289941047,gwr_bias_corr_bootstrap_stats.csv
534000,246000,9.134342194,9.249759646455866,9.253950246086632,0.013321188331401983,0.014306086123958327,gwr_bias_corr_bootstrap_stats.csv
966000,246000,7.734415531,7.614842929107724,7.610389081784815,0.014297607123288574,0.015382560104926814,gwr_bias_corr_bootstrap_stats.csv
42000,258000,10.66126347,10.789452113337225,10.785848249887954,0.016432328280638283,0.015521367379729898,gwr_bias_corr_bootstrap_stats.csv
150000,258000,10.17468071,9.809726746261711,9.810106627512091,0.13319139564828839,0.13291426162190076,gwr_bias_corr_bootstrap_stats.csv
186000,258000,10.64594841,10.35804411713028,10.363612308057292,0.08288888185281387,0.07971367446020394,gwr_bias_corr_bootstrap_stats.csv
282000,258000,9.866326332,9.910777643622282,9.910698371666223,0.0019759191049412424,0.0019688779041408914,gwr_bias_corr_bootstrap_stats.csv
294000,258000,10.30966663,10.139898635911576,10.14058176580384,0.02882117181680725,0.028589691300233786,gwr_bias_corr_bootstrap_stats.csv
306000,258000,9.867150307,9.698486000591018,9.698039306109203,0.02844764825642278,0.028598530622286768,gwr_bias_corr_bootstrap_stats.csv
318000,258000,9.82531929,9.53995594802151,9.538144745877204,0.08143223694513277,0.08246921879213517,gwr_bias_corr_bootstrap_stats.csv
378000,258000,10.38194466,10.324643883160238,10.309674075294414,0.003283379026440203,0.0052230374136873784,gwr_bias_corr_bootstrap_stats.csv
546000,258000,9.202716827,9.181522557431132,9.181668721920069,0.00044919706255784636,0.0004430227274558144,gwr_bias_corr_bootstrap_stats.csv
966000,258000,7.627480507,7.587420751933038,7.58519922120606,0.0016047839760249271,0.001787707128388802,gwr_bias_corr_bootstrap_stats.csv
42000,270000,10.99471951,10.789975530648144,10.788195447882725,0.04192009708083294,0.042652188233419985,gwr_bias_corr_bootstrap_stats.csv
150000,270000,9.312195778,9.169606266310664,9.16784816583914,0.020331768843803125,0.020836233136541676,gwr_bias_corr_bootstrap_stats.csv
186000,270000,11.3107338,10.795235490278296,10.794920889358542,0.26573850732593324,0.26606295878441244,gwr_bias_corr_bootstrap_stats.csv
378000,270000,9.574419975,9.248161829539224,9.242800507816598,0.1064443774795043,0.10997147101500289,gwr_bias_corr_bootstrap_stats.csv
546000,270000,9.070864677,9.013351431041622,9.012662778681351,0.003307773460668811,0.003387460967894276,gwr_bias_corr_bootstrap_stats.csv
966000,270000,8.07804966,7.869968971681713,7.869592824825823,0.04329757285101195,0.043454252130833954,gwr_bias_corr_bootstrap_stats.csv
30000,282000,11.23101425,11.108930676060517,11.115524322645966,0.014904399025837102,0.01333792332023999,gwr_bias_corr_bootstrap_stats.csv
42000,282000,10.93317699,10.725051046583074,10.729911568670722,0.0433164083231854,0.04131683150816861,gwr_bias_corr_bootstrap_stats.csv
150000,282000,9.031333923,8.843308183465632,8.841869411577393,0.03535367872744586,0.03589680108860701,gwr_bias_corr_bootstrap_stats.csv
174000,282000,10.60110378,10.674618527139868,10.672204316519048,0.005404418047038673,0.005055286293296386,gwr_bias_corr_bootstrap_stats.csv
378000,282000,10.02375793,9.989575554117826,9.987029038344035,0.0011684348209502755,0.001349011482275627,gwr_bias_corr_bootstrap_stats.csv
546000,282000,8.956733704,8.957577974562241,8.95755053765186,7.127927822680665e-07,6.672172148122577e-07,gwr_bias_corr_bootstrap_stats.csv
966000,282000,7.859417915,7.72313779104299,7.723256930740765,0.018572272185738058,0.01853981363444372,gwr_bias_corr_bootstrap_stats.csv
54000,294000,11.06583691,10.71709878154338,10.724544519112568,0.1216182822394263,0.11648049607765962,gwr_bias_corr_bootstrap_stats.csv
