latitude,longitude,mean,median,ci_lower,ci_upper
450000.0,330000.0,4.280723316274292,4.26354790640337,4.270866531476133,4.290580101072451
18000.0,186000.0,3.27639549298744,3.2525726612209698,3.267011551046008,3.2857794349288723
330000.0,558000.0,1.9987384104381585,1.9984125487710735,1.9979029727660629,1.999573848110254
198000.0,186000.0,3.6412682389984723,3.6262242882172613,3.633780159436693,3.6487563185602516
186000.0,606000.0,1.9040820916202599,1.9014459343787538,1.9023874640766674,1.9057767191638524
750000.0,102000.0,3.7152265391694446,3.8082793122913854,3.6845423527565724,3.7459107255823167
378000.0,270000.0,4.167116096537116,4.1465446642689265,4.145075933211937,4.189156259862295
786000.0,138000.0,5.844635294168163,5.8461607215085865,5.824514181982411,5.864756406353915
978000.0,234000.0,4.920895325394781,4.859000632747474,4.893769884642312,4.94802076614725
714000.0,150000.0,5.785478225809433,5.782232163365254,5.7694113268424125,5.801545124776453
318000.0,654000.0,1.934754191018769,1.9354982406209205,1.9342244023157265,1.9352839797218118
246000.0,186000.0,3.226790785926393,3.2252884806951156,3.2174675295224193,3.236114042330367
642000.0,426000.0,2.1659187749774977,2.172190887593731,2.161467794692312,2.1703697552626835
426000.0,546000.0,2.052327491051445,2.0500690919044477,2.0497915989948456,2.054863383108044
606000.0,102000.0,2.86144818756463,2.861757677972935,2.8531770657287066,2.869719309400553
474000.0,522000.0,2.189007665304958,2.1865280963793117,2.1869458146160947,2.191069515993821
786000.0,54000.0,3.4491371946009206,3.516551142556872,3.4154808470647877,3.4827935421370535
174000.0,594000.0,1.969866008592836,1.9697942392308372,1.9685427103411548,1.971189306844517
42000.0,198000.0,3.4948277074273655,3.492083710717264,3.4884585949269855,3.5011968199277455
906000.0,90000.0,3.845643107173815,3.8254444385609996,3.8337977599686828,3.8574884543789474
690000.0,174000.0,5.351835528590492,5.348180059745784,5.338184496559042,5.3654865606219415
966000.0,150000.0,3.731959631503213,3.709890594337344,3.7141132322386152,3.749806030767811
798000.0,78000.0,4.164825877770576,4.183314767390785,4.14791663159102,4.181735123950132
906000.0,138000.0,5.135659403314682,5.14156545583916,5.127609836859733,5.14370896976963
546000.0,222000.0,3.974843059511781,3.9573661252816557,3.964193017052159,3.9854931019714033
