latitude,longitude,value
618000,162000,4.078372955
630000,162000,4.14043951
642000,162000,3.779815197
654000,162000,3.254977465
702000,162000,4.917940617
942000,162000,3.160788059
954000,162000,3.342204571
18000,174000,2.872034788
54000,174000,2.756628513
66000,174000,2.422519922
210000,174000,2.795861006
222000,174000,2.775277615
234000,174000,2.773392916
498000,174000,2.279503345
510000,174000,2.246587276
522000,174000,2.248446703
534000,174000,2.2953372
606000,174000,3.466685534
870000,174000,5.009394169
882000,174000,4.641439915
894000,174000,3.958112717
18000,186000,2.886811256
30000,186000,2.855087519
78000,186000,2.625606298
198000,186000,2.956588745
246000,186000,2.678691149
618000,186000,3.555426359
894000,186000,4.155979633
42000,198000,3.039292812
78000,198000,2.878374577
198000,198000,2.999527693
246000,198000,3.320775032
546000,198000,2.873704672
558000,198000,3.198471546
570000,198000,3.457747459
618000,198000,3.773292542
906000,198000,3.573520422
918000,198000,3.821193933
930000,198000,3.621565342
54000,210000,3.293345213
90000,210000,3.55244112
102000,210000,2.905583143
138000,210000,2.664172888
150000,210000,2.740583658
198000,210000,3.125502825
246000,210000,3.142351627
318000,210000,2.540817738
330000,210000,2.441795588
534000,210000,2.786952734
546000,210000,2.700603008
582000,210000,4.139374256
594000,210000,3.558115959
618000,210000,3.636478186
630000,210000,3.990876436
942000,210000,4.320587635
954000,210000,4.144903183
54000,222000,3.361207962
114000,222000,3.562596321
126000,222000,3.393313885
258000,222000,2.456860065
330000,222000,2.838240385
342000,222000,2.820002556
378000,222000,2.289895296
462000,222000,2.535257578
474000,222000,3.109570026
486000,222000,3.04198122
618000,222000,3.194875479
642000,222000,3.426330566
966000,222000,4.360756874
978000,222000,3.777675867
54000,234000,3.157769203
126000,234000,3.533429861
198000,234000,3.085379124
258000,234000,3.200953484
318000,234000,3.067105055
330000,234000,2.915058851
342000,234000,3.476561308
366000,234000,2.84745574
378000,234000,2.75153327
390000,234000,2.805340052
462000,234000,2.344702959
498000,234000,3.007916451
534000,234000,3.083623409
978000,234000,3.959434271
54000,246000,2.9386971
138000,246000,2.865949154
150000,246000,3.309178352
186000,246000,3.198785782
270000,246000,3.049124002
390000,246000,2.833350897
474000,246000,3.178456783
486000,246000,3.911985397
498000,246000,2.998541832
510000,246000,2.223513365
534000,246000,2.898160696
966000,246000,3.899471283
42000,258000,2.878574848
150000,258000,3.362487316
186000,258000,3.231734991
282000,258000,2.998754978
294000,258000,3.131568909
306000,258000,4.005140305
318000,258000,3.636513233
378000,258000,2.879641056
546000,258000,3.191914082
966000,258000,3.538547039
42000,270000,2.860009432
150000,270000,3.904927969
186000,270000,3.44730711
378000,270000,3.177196264
546000,270000,3.331477404
966000,270000,2.859397888
30000,282000,2.81765604
42000,282000,3.045999289
150000,282000,3.998659849
174000,282000,3.097214937
378000,282000,2.578074932
546000,282000,3.453247309
966000,282000,2.897008181
54000,294000,2.890576601
66000,294000,2.696857214
378000,294000,2.294539452
510000,294000,3.186098814
522000,294000,3.085552931
534000,294000,2.711827517
882000,294000,1.762660742
906000,294000,2.596511126
966000,294000,2.7342453
78000,306000,2.205553293
390000,306000,1.944303751
486000,306000,3.129220963
498000,306000,3.474925041
870000,306000,1.883539677
918000,306000,2.914738417
966000,306000,2.771263123
90000,318000,2.755927801
390000,318000,2.076662064
462000,318000,2.703168154
474000,318000,2.99938345
870000,318000,1.90376687
918000,318000,2.08295083
978000,318000,2.697216272
990000,318000,3.506424665
1002000,318000,3.649283409
1014000,318000,3.064909935
1026000,318000,3.07010746
90000,330000,2.582202673
402000,330000,2.282739162
414000,330000,2.337285519
426000,330000,2.440495253
438000,330000,2.558051586
450000,330000,2.502745628
870000,330000,1.886831999
930000,330000,2.075474024
1026000,330000,3.005055189
90000,342000,2.341930628
870000,342000,1.973109603
954000,342000,2.214352131
966000,342000,2.427265882
978000,342000,2.357124329
1038000,342000,2.793577909
1050000,342000,2.682916403
78000,354000,2.137986422
870000,354000,2.047894955
990000,354000,2.715359211
1002000,354000,2.824851274
1050000,354000,2.632481098
66000,366000,2.132418156
78000,366000,2.126740217
690000,366000,1.75986135
702000,366000,1.701464295
714000,366000,1.761439323
738000,366000,1.800556064
870000,366000,2.006439447
1014000,366000,2.732580185
1026000,366000,2.737938643
1050000,366000,2.586903095
78000,378000,2.562758684
678000,378000,1.826487422
750000,378000,1.753115058
762000,378000,2.012131929
870000,378000,2.067135572
1038000,378000,2.597589016
1050000,378000,2.596145391
78000,390000,2.596840143
666000,390000,2.056545019
774000,390000,1.995177388
786000,390000,2.233717203
870000,390000,2.155218124
1134000,390000,3.70077014
1146000,390000,3.636430502
78000,402000,2.500011206
654000,402000,1.86019516
798000,402000,2.043634892
810000,402000,1.948268056
822000,402000,1.975812316
870000,402000,2.0372684
1134000,402000,3.423571348
1146000,402000,3.408679485
90000,414000,2.224554777
642000,414000,1.639973998
834000,414000,2.108962059
846000,414000,2.191812515
858000,414000,2.151963234
1146000,414000,3.116096258
1158000,414000,3.138520956
90000,426000,2.176720142
594000,426000,1.860128164
606000,426000,1.922236204
618000,426000,1.932502508
630000,426000,1.773718953
1074000,426000,2.621746063
1146000,426000,3.220551252
1170000,426000,3.421269417
1182000,426000,3.41391468
1194000,426000,3.288491011
78000,438000,2.050696611
558000,438000,1.731410742
570000,438000,1.739001155
582000,438000,1.699710131
1110000,438000,2.759306431
1122000,438000,3.212289572
1134000,438000,3.617815733
1194000,438000,3.399390459
78000,450000,2.222948074
534000,450000,1.732063055
546000,450000,1.594073892
1122000,450000,3.192107677
1134000,450000,3.47399497
1146000,450000,3.463743448
1206000,450000,2.91318512
78000,462000,2.354089737
90000,462000,2.208393812
522000,462000,1.730684996
1158000,462000,3.074729204
1170000,462000,3.234217405
1182000,462000,3.385286093
1194000,462000,3.415456057
1206000,462000,3.342046022
1218000,462000,3.470711708
522000,474000,1.766562104
1170000,474000,3.647080898
90000,486000,1.883619308
102000,486000,2.058460712
522000,486000,1.817134142
102000,498000,2.104309082
498000,498000,2.203217983
510000,498000,1.958586335
102000,510000,2.163164377
486000,510000,1.867303729
102000,522000,2.120398283
450000,522000,1.784072995
462000,522000,1.785255909
474000,522000,1.943638444
102000,534000,2.258167982
426000,534000,1.647475004
438000,534000,1.733162761
102000,546000,2.160501242
390000,546000,1.693792701
402000,546000,1.63800168
414000,546000,1.594468832
90000,558000,2.244714737
